pathwayRes	pathway	pathwayTitle	TotalGenesinPW	GenesInPWs.rectum_Ensembl_BridgeDb_CD	probabilities.rectum_Ensembl_BridgeDb_CD	GenesInPWs.rectum_Ensembl_Hs_CD	probabilities.rectum_Ensembl_Hs_CD	GenesInPWs.rectum_Ensembl_PriID_BridgeDb_CD	probabilities.rectum_Ensembl_PriID_BridgeDb_CD	GenesInPWs.rectum_ENTREZ_BridgeDb_CD	probabilities.rectum_ENTREZ_BridgeDb_CD	GenesInPWs.rectum_ENTREZ_Hs_CD	probabilities.rectum_ENTREZ_Hs_CD	GenesInPWs.rectum_ENTREZ_PriID_BridgeDb_CD	probabilities.rectum_ENTREZ_PriID_BridgeDb_CD	GenesInPWs.rectum_HGNC_CD	probabilities.rectum_HGNC_CD	GenesInPWs.rectum_HGNC_PriID_BridgeDb_CD	probabilities.rectum_HGNC_PriID_BridgeDb_CD
<https://identifiers.org/wikipathways/WP4016_r120667>	WP4016	DNA IR-damage and cellular response via ATR	83	1	1.10335091658039e-129	1	5.50794139791107e-129	1	2.12435966653585e-131	1	2.86050798326966e-127	1	1.10335091658039e-129	1	5.14777298114186e-129	1	1.3132726372524e-133	1	1.3132726372524e-133
<https://identifiers.org/wikipathways/WP4018_r117168>	WP4018	Clear cell renal cell carcinoma pathways	86	12	9.78496620301403e-108	12	4.19501242937973e-107	12	2.7392473489417e-109	12	1.4995589782051e-105	12	9.78496620301403e-108	12	3.9458704391919e-107	12	2.74406627361138e-111	12	2.74406627361138e-111
<https://identifiers.org/wikipathways/WP4022_r120306>	WP4022	Pyrimidine metabolism	99	3	1.30681406250868e-142	3	8.49509463602973e-142	3	1.31410849879131e-144	3	8.43295271438547e-140	3	1.30681406250868e-142	3	7.85193289702421e-142	3	3.51401326690406e-147	3	3.51401326690406e-147
<https://identifiers.org/wikipathways/WP4030_r93221>	WP4030	SCFA and skeletal muscle substrate metabolism	6	1	2.91776237150454e-13	1	3.22844645135826e-13	1	2.27617272960665e-13	1	4.14064856177393e-13	1	2.91776237150454e-13	1	3.21473172556658e-13	1	1.65413565500943e-13	1	1.65413565500943e-13
<https://identifiers.org/wikipathways/WP408_r116900>	WP408	Oxidative stress response	33	2	1.14962046044382e-59	2	2.13828522656201e-59	2	2.50546357086358e-60	2	9.83208696522963e-59	2	1.14962046044382e-59	2	2.08318394474701e-59	2	3.53045647440485e-61	2	3.53045647440485e-61
<https://identifiers.org/wikipathways/WP410_r117108>	WP410	Exercise-induced circadian regulation	48	5	2.22948031312537e-74	5	5.25047858012393e-74	5	2.72133060500331e-75	5	4.31095682443713e-73	5	2.22948031312537e-74	5	5.06465917358458e-74	5	1.81804451256149e-76	5	1.81804451256149e-76
<https://identifiers.org/wikipathways/WP411_r122796>	WP411	mRNA processing	127	4	7.97673794508049e-170	4	8.55943224861236e-169	4	2.3363582902036e-172	4	2.9040579891933e-166	4	7.97673794508049e-170	4	7.74645142499928e-169	4	1.27061178279487e-175	4	1.27061178279487e-175
<https://identifiers.org/wikipathways/WP4136_r120387>	WP4136	Fibrin complement receptor 3 signaling pathway	43	7	1.1320274315484e-62	7	2.32376571314108e-62	7	1.93642771152803e-63	7	1.36143954674483e-61	7	1.1320274315484e-62	7	2.25451441705409e-62	7	1.99774370312159e-64	7	1.99774370312159e-64
<https://identifiers.org/wikipathways/WP4141_r122432>	WP4141	PI3K/AKT/mTOR - vitamin D3 signaling	22	4	1.64477081047357e-36	4	2.36288726265565e-36	4	6.75930984003172e-37	4	5.7586849568181e-36	4	1.64477081047357e-36	4	2.32714611078356e-36	4	2.15424995722963e-37	4	2.15424995722963e-37
<https://identifiers.org/wikipathways/WP4142_r119292>	WP4142	Metabolism of spingolipids in ER and Golgi apparatus	31	1	2.66938387216694e-59	1	4.86783871652947e-59	1	6.10706745397997e-60	1	2.13214764681587e-58	1	2.66938387216694e-59	1	4.74634523774754e-59	1	9.1604647157851e-61	1	9.1604647157851e-61
<https://identifiers.org/wikipathways/WP4146_r107552>	WP4146	Macrophage markers	9	1	8.46773685245642e-20	1	9.95379209597464e-20	1	5.69411157583549e-20	1	1.48143436739087e-19	1	8.46773685245642e-20	1	9.88630875973075e-20	1	3.41874508643468e-20	1	3.41874508643468e-20
<https://identifiers.org/wikipathways/WP4147_r94394>	WP4147	PTF1A related regulatory pathway	11	1	6.42016965419703e-24	1	7.85686598944609e-24	1	3.91105953419566e-24	1	1.29100829638612e-23	1	6.42016965419703e-24	1	7.79039504198873e-24	1	2.06803346751973e-24	1	2.06803346751973e-24
<https://identifiers.org/wikipathways/WP4148_r110682>	WP4148	Splicing factor NOVA regulated synaptic proteins	42	4	3.63943532104829e-68	4	7.77051751093071e-68	4	5.65222350802968e-69	4	5.01442798056355e-67	4	3.63943532104829e-68	4	7.52648472959561e-68	4	5.14918191730385e-70	4	5.14918191730385e-70
<https://identifiers.org/wikipathways/WP4149_r107159>	WP4149	White fat cell differentiation	32	2	4.27101419546713e-58	2	7.78854194644705e-58	2	9.77130792636792e-59	2	3.41143623490541e-57	2	4.27101419546713e-58	2	7.59415238039599e-58	2	1.46567435452564e-59	2	1.46567435452564e-59
<https://identifiers.org/wikipathways/WP4150_r116677>	WP4150	Wnt signaling in kidney disease	37	2	8.00029031438006e-66	2	1.61023904308386e-65	2	1.43633103957314e-66	2	8.98849425526395e-65	2	8.00029031438006e-66	2	1.56354611308553e-65	2	1.57700551357768e-67	2	1.57700551357768e-67
<https://identifiers.org/wikipathways/WP4155_r119086>	WP4155	Endometrial cancer	63	1	6.34914685352385e-105	1	2.16243943086321e-104	1	3.12974993613847e-106	1	4.39367243529231e-103	1	6.34914685352385e-105	1	2.05379174470963e-104	1	6.50178047631012e-108	1	6.50178047631012e-108
<https://identifiers.org/wikipathways/WP4157_r120415>	WP4157	GABA metabolism (aka GHB)	12	2	3.85210179251818e-23	2	4.71411959366764e-23	2	2.34663572051742e-23	2	7.74604977831665e-23	2	3.85210179251818e-23	2	4.67423702519325e-23	2	1.24082008051183e-23	2	1.24082008051183e-23
<https://identifiers.org/wikipathways/WP4172_r122580>	WP4172	PI3K-Akt signaling pathway	340	30	1.34094035464178e-288	30	3.56749150039782e-286	31	7.2094528165111e-293	30	3.11778096893159e-280	30	1.34094035464178e-288	31	1.34874194789241e-284	30	2.70638515658303e-302	31	1.43962229780845e-300
<https://identifiers.org/wikipathways/WP4174_r117157>	WP4174	Metabolism of tetrahydrocannabinol (THC)	4	2	8.38215941190768e-06	2	8.72882169635909e-06	2	7.58866405363668e-06	2	9.6436665220116e-06	2	8.38215941190768e-06	2	8.71395147200427e-06	2	6.67801929947566e-06	2	6.67801929947566e-06
<https://identifiers.org/wikipathways/WP4189_r120000>	WP4189	Mevalonate arm of cholesterol biosynthesis pathway with inhibitors	10	1	7.03300403027945e-22	1	8.4354170304871e-22	1	4.50127397299248e-22	1	1.31917575012545e-21	1	7.03300403027945e-22	1	8.37113358148251e-22	1	2.5361610433492e-22	1	2.5361610433492e-22
<https://identifiers.org/wikipathways/WP4190_r118431>	WP4190	Mevalonate arm of cholesterol biosynthesis pathway	13	7	4.16892608617965e-13	7	4.70689389169985e-13	7	3.09501775277734e-13	7	6.3440651178608e-13	7	4.16892608617965e-13	7	4.68291989904267e-13	7	2.11040653085218e-13	7	2.11040653085218e-13
<https://identifiers.org/wikipathways/WP4191_r106347>	WP4191	Caloric restriction and aging	9	1	8.46773685245642e-20	1	9.95379209597464e-20	1	5.69411157583549e-20	1	1.48143436739087e-19	1	8.46773685245642e-20	1	9.88630875973075e-20	1	3.41874508643468e-20	1	3.41874508643468e-20
<https://identifiers.org/wikipathways/WP4197_r120647>	WP4197	Immune response to tuberculosis	23	10	6.51629399180518e-25	10	8.46975990944642e-25	10	3.42383331825261e-25	10	1.61394927721973e-24	10	6.51629399180518e-25	10	8.37684271212763e-25	10	1.49681260291609e-25	10	1.49681260291609e-25
<https://identifiers.org/wikipathways/WP4204_r108297>	WP4204	Tumor suppressor activity of SMARCB1	31	2	1.63499762170229e-56	2	2.92313714927592e-56	2	3.92684437290914e-57	2	1.21958845397869e-55	2	1.63499762170229e-56	2	2.85255348788625e-56	2	6.27033809795505e-58	2	6.27033809795505e-58
<https://identifiers.org/wikipathways/WP4205_r118937>	WP4205	MET in type 1 papillary renal cell carcinoma	59	4	9.02338930923264e-92	4	2.68442421063362e-91	4	6.20242936149969e-93	4	3.91277410228658e-90	4	9.02338930923264e-92	4	2.56409549703549e-91	4	1.97767455036218e-94	4	1.97767455036218e-94
<https://identifiers.org/wikipathways/WP4206_r119286>	WP4206	Hereditary leiomyomatosis and renal cell carcinoma pathway	20	2	4.27213197525603e-38	2	6.13736951339127e-38	2	1.75566489351474e-38	2	1.49576232644626e-37	2	4.27213197525603e-38	2	6.04453535268457e-38	2	5.59545443436273e-39	2	5.59545443436273e-39
<https://identifiers.org/wikipathways/WP4210_r95880>	WP4210	Tryptophan catabolism leading to NAD+ production	16	5	2.32531517823652e-23	5	2.90345098493233e-23	5	1.34834317642989e-23	5	5.01255487876845e-23	5	2.32531517823652e-23	5	2.87645355396508e-23	5	6.69123717490819e-24	5	6.69123717490819e-24
<https://identifiers.org/wikipathways/WP4211_r107570>	WP4211	Transcriptional cascade regulating adipogenesis	13	2	4.15234853256522e-25	2	5.1847339016649e-25	2	2.40775567219621e-25	2	8.95099085494371e-25	2	4.15234853256522e-25	2	5.13652420350907e-25	2	1.1948637812336e-25	2	1.1948637812336e-25
<https://identifiers.org/wikipathways/WP4216_r119088>	WP4216	Chromosomal and microsatellite instability in colorectal cancer 	73	3	3.72009158274236e-112	3	1.47747048442611e-111	3	1.25683994577996e-113	3	4.37760786381039e-110	3	3.72009158274236e-112	3	1.39419920108483e-111	3	1.6044296771665e-115	3	1.6044296771665e-115
<https://identifiers.org/wikipathways/WP4217_r120623>	WP4217	Ebola virus infection in host	140	14	4.2664487661365e-161	14	4.83718800291611e-160	14	1.0912427989309e-163	14	1.87825434630095e-157	14	4.2664487661365e-161	14	4.36763046180114e-160	14	4.98141363636286e-167	14	4.98141363636286e-167
<https://identifiers.org/wikipathways/WP422_r116723>	WP422	MAPK cascade	33	1	1.87387198116355e-62	1	3.55492140741808e-62	1	3.89047138332856e-63	1	1.71589650353045e-61	1	1.87387198116355e-62	1	3.46043844642363e-62	1	5.15019179344245e-64	1	5.15019179344245e-64
<https://identifiers.org/wikipathways/WP4222_r107160>	WP4222	Phosphodiesterases in neuronal function	52	2	1.90654590699555e-87	2	5.14710260651361e-87	2	1.66366098349542e-88	2	5.91076237761503e-86	2	1.90654590699555e-87	2	4.93650102686913e-87	2	7.21366416700978e-90	2	7.21366416700978e-90
<https://identifiers.org/wikipathways/WP4223_r119284>	WP4223	Ras signaling	184	10	1.10733624585143e-209	10	2.97879157520949e-208	10	3.37093934881045e-213	10	9.60344801916589e-205	10	1.10733624585143e-209	10	2.59371747856268e-208	10	9.81376313276914e-218	10	9.81376313276914e-218
<https://identifiers.org/wikipathways/WP4224_r120400>	WP4224	Purine metabolism and related disorders	24	3	2.02477103496315e-42	3	3.0882118989301e-42	3	7.18372447736427e-43	3	8.71933900321451e-42	3	2.02477103496315e-42	3	3.03385108595649e-42	3	1.89512136179094e-43	3	1.89512136179094e-43
<https://identifiers.org/wikipathways/WP4225_r120401>	WP4225	Pyrimidine metabolism and related diseases	24	4	6.1553039462878e-40	4	9.2028714588116e-40	4	2.29340403939849e-40	4	2.47411244216211e-39	4	6.1553039462878e-40	4	9.04846086386517e-40	4	6.44341263008922e-41	4	6.44341263008922e-41
<https://identifiers.org/wikipathways/WP4239_r118997>	WP4239	Epithelial to mesenchymal transition in colorectal cancer	161	19	1.80959212088368e-171	19	2.74594685080669e-170	19	2.25792516420175e-174	19	2.17806521820863e-167	19	1.80959212088368e-171	19	2.44920069189145e-170	19	4.07633835891894e-178	19	4.07633835891894e-178
<https://identifiers.org/wikipathways/WP4241_r106520>	WP4241	Type 2 papillary renal cell carcinoma	34	6	1.9959004567263e-51	6	3.49841054025333e-51	6	5.03253903247039e-52	6	1.39027229728992e-50	6	1.9959004567263e-51	6	3.4167809609808e-51	6	8.55494832462097e-53	6	8.55494832462097e-53
<https://identifiers.org/wikipathways/WP4249_r117749>	WP4249	Hedgehog signaling pathway	43	2	9.96972362501678e-75	2	2.25770664802403e-74	2	1.33984414442681e-75	2	1.68365846982486e-73	2	9.96972362501678e-75	2	2.18139504656565e-74	2	1.01320043347825e-76	2	1.01320043347825e-76
<https://identifiers.org/wikipathways/WP4255_r119279>	WP4255	Non-small cell lung cancer	72	7	1.94969589350178e-101	7	7.03512445711794e-101	7	8.33904881108974e-103	7	1.64710216544053e-99	7	1.94969589350178e-101	7	6.66545340642037e-101	7	1.44273952775684e-104	7	1.44273952775684e-104
<https://identifiers.org/wikipathways/WP4258_r117770>	WP4258	lncRNA in canonical Wnt signaling and colorectal cancer	98	10	1.64793175299265e-125	10	9.21547024901173e-125	10	2.39986514328626e-127	10	6.32331813875364e-123	10	1.64793175299265e-125	10	8.57185010463672e-125	10	1.03486282910353e-129	10	1.03486282910353e-129
<https://identifiers.org/wikipathways/WP4262_r108103>	WP4262	Breast cancer pathway	156	8	9.2609657250031e-189	8	1.56618663749845e-187	8	8.84763588157363e-192	8	1.62016266350761e-184	8	9.2609657250031e-189	8	1.39058389329429e-187	8	1.13100653393802e-195	8	1.13100653393802e-195
<https://identifiers.org/wikipathways/WP4263_r105482>	WP4263	Pancreatic adenocarcinoma pathway	89	5	2.35352930451493e-126	5	1.22026848999057e-125	5	4.12809820399274e-128	5	6.95503859108437e-124	5	2.35352930451493e-126	5	1.13865817696571e-125	5	2.26286032259817e-130	5	2.26286032259817e-130
<https://identifiers.org/wikipathways/WP4269_r117715>	WP4269	Ethanol metabolism production of ROS by CYP2E1	10	1	7.03300403027945e-22	1	8.4354170304871e-22	1	4.50127397299248e-22	1	1.31917575012545e-21	1	7.03300403027945e-22	1	8.37113358148251e-22	1	2.5361610433492e-22	1	2.5361610433492e-22
<https://identifiers.org/wikipathways/WP4271_r120408>	WP4271	Vitamin B12 disorders	16	2	7.91466562220127e-31	2	1.04956889587477e-30	2	3.95883221281062e-31	2	2.10106256340779e-30	2	7.91466562220127e-31	2	1.03717938108367e-30	2	1.62453037899804e-31	2	1.62453037899804e-31
<https://identifiers.org/wikipathways/WP428_r116549>	WP428	Wnt signaling	116	7	1.90537772841036e-151	7	1.57871900366458e-150	7	1.05466495502615e-153	7	2.84147383908074e-148	7	1.90537772841036e-151	7	1.44438616104204e-150	7	1.3049349052758e-156	7	1.3049349052758e-156
<https://identifiers.org/wikipathways/WP4288_r120407>	WP4288	MTHFR deficiency	27	1	7.92113151352982e-53	1	1.33443510169847e-52	1	2.20155487757565e-53	1	4.81063382686287e-52	1	7.92113151352982e-53	1	1.30547407278014e-52	1	4.24216237617488e-54	1	4.24216237617488e-54
<https://identifiers.org/wikipathways/WP4290_r118611>	WP4290	Metabolic reprogramming in colon cancer	42	8	4.98266481084408e-59	8	9.83305514595394e-59	8	9.38926512457242e-60	8	5.22947135200969e-58	8	4.98266481084408e-59	8	9.55583800253578e-59	8	1.09716200323328e-60	8	1.09716200323328e-60
<https://identifiers.org/wikipathways/WP4297_r120409>	WP4297	Thiamine metabolic pathways	10	2	4.23386842622816e-19	2	4.97689604798731e-19	2	2.84705578791774e-19	2	7.40717183695431e-19	2	4.23386842622816e-19	2	4.94315437986536e-19	2	1.70937254321734e-19	2	1.70937254321734e-19
<https://identifiers.org/wikipathways/WP4298_r121698>	WP4298	Acute viral myocarditis	98	18	6.70931195912792e-110	18	3.22453774153533e-109	18	1.41820274503319e-111	18	1.52568544401674e-107	18	6.70931195912792e-110	18	3.01849699127756e-109	18	9.88917521270033e-114	18	9.88917521270033e-114
<https://identifiers.org/wikipathways/WP43_r122562>	WP43	Oxidation by cytochrome P450	64	11	7.74980845473245e-83	11	2.21782118658898e-82	11	5.85982486417588e-84	11	2.93894156634703e-81	11	7.74980845473245e-83	11	2.12186647402629e-82	11	2.11260127257838e-85	11	2.11260127257838e-85
<https://identifiers.org/wikipathways/WP430_r122069>	WP430	Statin inhibition of cholesterol production	31	10	4.43690607855262e-38	10	6.76723733677425e-38	10	1.57417852438043e-38	10	1.91067965494814e-37	10	4.43690607855262e-38	10	6.64811580779508e-38	10	4.15280312910948e-39	10	4.15280312910948e-39
<https://identifiers.org/wikipathways/WP4300_r105311>	WP4300	Extracellular vesicles in the crosstalk of cardiac cells	25	5	3.07765197314393e-39	5	4.60143572940591e-39	5	1.14670201969927e-39	5	1.23705622108106e-38	5	3.07765197314393e-39	5	4.52423043193262e-39	5	3.22170631504464e-40	5	3.22170631504464e-40
<https://identifiers.org/wikipathways/WP4301_r97800>	WP4301	Inhibition of exosome biogenesis and secretion by Manumycin A in CRPC cells	18	1	2.72741899262395e-37	1	3.84070123759073e-37	1	1.17721951280935e-37	1	8.91159449230089e-37	1	2.72741899262395e-37	1	3.78578793141823e-37	1	3.99633245654225e-38	1	3.99633245654225e-38
<https://identifiers.org/wikipathways/WP4304_r119229>	WP4304	Oligodendrocyte specification and differentiation, leading to myelin components for CNS	31	6	1.01440030050798e-46	6	1.67532121895021e-46	6	2.96022022845938e-47	6	5.75193054776506e-46	6	1.01440030050798e-46	6	1.64033121855438e-46	6	6.07332358206867e-48	6	6.07332358206867e-48
<https://identifiers.org/wikipathways/WP4312_r119230>	WP4312	Rett syndrome causing genes	49	3	1.14594808826413e-80	3	2.86170284759669e-80	3	1.21108813256351e-81	3	2.71362457975611e-79	3	1.14594808826413e-80	3	2.75362540015051e-80	3	6.72082433541205e-83	3	6.72082433541205e-83
<https://identifiers.org/wikipathways/WP4313_r120500>	WP4313	Ferroptosis	65	6	7.26850091370388e-95	6	2.33634311436467e-94	6	4.13073703029058e-96	6	4.11814652568572e-93	6	7.26850091370388e-95	6	2.22436566209218e-94	6	1.03080619919349e-97	6	1.03080619919349e-97
<https://identifiers.org/wikipathways/WP4321_r106178>	WP4321	Thermogenesis	108	9	1.41873573851398e-138	9	9.75588448240809e-138	9	1.2423915600746e-140	9	1.11161686184307e-135	9	1.41873573851398e-138	9	8.99598474695693e-138	9	2.77917776992922e-143	9	2.77917776992922e-143
<https://identifiers.org/wikipathways/WP4329_r101725>	WP4329	miRNAs involvement in the immune response in sepsis	66	11	2.12949100213309e-85	11	6.33515523552095e-85	12	1.59915067858235e-84	11	9.23402167262503e-84	11	2.12949100213309e-85	12	6.18733494669188e-83	11	4.66724865326928e-88	12	5.42178718554766e-86
<https://identifiers.org/wikipathways/WP4331_r107654>	WP4331	Neovascularisation processes	41	4	1.06843422639344e-66	4	2.23679896921786e-66	4	1.74142314747388e-67	4	1.37538596038315e-65	4	1.06843422639344e-66	4	2.16834441019301e-66	4	1.68819607145887e-68	4	1.68819607145887e-68
<https://identifiers.org/wikipathways/WP4336_r108198>	WP4336	ncRNAs involved in Wnt signaling in hepatocellular carcinoma	93	7	2.39478151971051e-126	7	1.28954311528695e-125	7	3.827137924245e-128	7	8.06500242294767e-124	7	2.39478151971051e-126	7	1.20138674969497e-125	7	1.8605368713923e-130	7	1.8605368713923e-130
<https://identifiers.org/wikipathways/WP4337_r108190>	WP4337	ncRNAs involved in STAT3 signaling in hepatocellular carcinoma	18	4	2.01823973366131e-29	4	2.67640068448066e-29	4	1.0095022142667e-29	4	5.3577095366899e-29	4	2.01823973366131e-29	4	2.64480742176335e-29	4	4.142552466445e-30	4	4.142552466445e-30
<https://identifiers.org/wikipathways/WP4341_r122900>	WP4341	Non-genomic actions of 1,25 dihydroxyvitamin D3	93	16	5.20939065356891e-108	16	2.36482032929191e-107	17	9.93491207012078e-108	16	9.7271800172911e-106	16	5.20939065356891e-108	17	1.6303349564295e-105	16	1.0587403691102e-111	17	8.81868448623575e-110
<https://identifiers.org/wikipathways/WP4352_r102218>	WP4352	Ciliary landscape	214	4	1.2299454179989e-248	4	6.20104076743014e-247	4	7.95504880938445e-253	4	9.30118617882663e-243	4	1.2299454179989e-248	4	5.25876973909458e-247	4	3.11558080795454e-258	4	3.11558080795454e-258
<https://identifiers.org/wikipathways/WP4357_r98705>	WP4357	NRF2-ARE regulation	23	3	1.02588399104799e-40	3	1.53381190980192e-40	3	3.82234006566423e-41	3	4.12352073693678e-40	3	1.02588399104799e-40	3	1.50807681064421e-40	3	1.07390210501487e-41	3	1.07390210501487e-41
<https://identifiers.org/wikipathways/WP437_r120689>	WP437	EGF/EGFR signaling pathway	162	9	3.83357887755206e-192	9	7.09348587891806e-191	9	2.93447273308864e-195	9	9.14701890269691e-188	9	3.83357887755206e-192	9	6.27438901893681e-191	9	2.81648198301779e-199	9	2.81648198301779e-199
<https://identifiers.org/wikipathways/WP4389_r116629>	WP4389	Bile acids synthesis and enterohepatic circulation 	13	4	5.02859788164979e-20	4	6.03132317679825e-20	4	3.21841089068964e-20	4	9.43210661339703e-20	4	5.02859788164979e-20	4	5.98536051075996e-20	4	1.81335514599467e-20	4	1.81335514599467e-20
<https://identifiers.org/wikipathways/WP4396_r98945>	WP4396	Nonalcoholic fatty liver disease	155	14	2.1299727746404e-175	14	3.17408681833513e-174	15	2.58811643507994e-176	14	2.40836588992107e-171	14	2.1299727746404e-175	15	2.48001983405894e-172	14	5.31480374860368e-182	15	5.2439396986222e-180
<https://identifiers.org/wikipathways/WP4462_r102079>	WP4462	Platelet-mediated interactions with vascular and circulating cells	19	8	4.0236257280557e-22	8	5.02400715071333e-22	8	2.33311524635815e-22	8	8.6735101384404e-22	8	4.0236257280557e-22	8	4.97729195320029e-22	8	1.15782300401537e-22	8	1.15782300401537e-22
<https://identifiers.org/wikipathways/WP4478_r121699>	WP4478	LTF danger signal response pathway	19	6	1.54536616406447e-26	6	2.00863871370272e-26	7	1.47199700085688e-24	6	3.82754769301126e-26	6	1.54536616406447e-26	7	3.36303510351369e-24	6	3.54975320849673e-27	7	6.85609476841072e-25
<https://identifiers.org/wikipathways/WP4479_r121700>	WP4479	Supression of HMGB1 mediated inflammation by THBD	9	1	8.46773685245642e-20	1	9.95379209597464e-20	1	5.69411157583549e-20	1	1.48143436739087e-19	1	8.46773685245642e-20	1	9.88630875973075e-20	1	3.41874508643468e-20	1	3.41874508643468e-20
<https://identifiers.org/wikipathways/WP4480_r121701>	WP4480	Altered glycosylation of MUC1 in tumor microenvironment	9	2	5.09334371675252e-17	2	5.86776044057711e-17	2	3.59867851592803e-17	2	8.31084680106283e-17	2	5.09334371675252e-17	2	5.83292216824115e-17	2	2.30252481571377e-17	2	2.30252481571377e-17
<https://identifiers.org/wikipathways/WP4481_r121702>	WP4481	Resistin as a regulator of inflammation	33	2	1.14962046044382e-59	2	2.13828522656201e-59	3	1.07484387190047e-57	2	9.83208696522963e-59	2	1.14962046044382e-59	3	8.35356761843552e-57	2	3.53045647440485e-61	3	1.61224178997824e-58
<https://identifiers.org/wikipathways/WP4482_r121703>	WP4482	Vitamin D in inflammatory diseases	22	2	1.33810955354085e-41	2	2.00062423017644e-41	2	4.98566095521432e-42	2	5.378505309048e-41	2	1.33810955354085e-41	2	1.96705670953592e-41	2	1.40074187610636e-42	2	1.40074187610636e-42
<https://identifiers.org/wikipathways/WP4483_r107927>	WP4483	Relationship between inflammation, COX-2 and EGFR	26	3	8.87874145234531e-46	3	1.40920987608102e-45	3	2.85668020563716e-46	3	4.38791416757199e-45	3	8.87874145234531e-46	3	1.38208700817317e-45	3	6.64530855434816e-47	3	6.64530855434816e-47
<https://identifiers.org/wikipathways/WP4484_r107333>	WP4484	Control of immune tolerance by vasoactive intestinal peptide	15	3	2.40815573553907e-26	3	3.06788988264195e-26	3	1.32920265815249e-26	3	5.56455914605738e-26	3	2.40815573553907e-26	3	3.03679640410163e-26	3	6.1910040478426e-27	3	6.1910040478426e-27
<https://identifiers.org/wikipathways/WP4493_r120800>	WP4493	Cells and molecules involved in local acute inflammatory response 	17	5	3.27509180033313e-25	5	4.17233024039302e-25	6	3.82030566655132e-23	5	7.56780043863799e-25	5	3.27509180033313e-25	6	8.14995173623443e-23	5	8.41976550506588e-26	6	1.89585053289067e-23
<https://identifiers.org/wikipathways/WP4494_r103559>	WP4494	Selective expression of chemokine receptors during T-cell polarization	29	11	7.77916783506345e-33	11	1.11755975206294e-32	11	3.19690776124986e-33	11	2.72364857784923e-32	11	7.77916783506345e-33	11	1.10065548690569e-32	11	1.01888189340753e-33	11	1.01888189340753e-33
<https://identifiers.org/wikipathways/WP4495_r117759>	WP4495	IL-10 anti-inflammatory signaling pathway 	13	6	2.42782717165205e-15	6	2.79696581000841e-15	6	1.71537009259237e-15	6	3.96150364183994e-15	6	2.42782717165205e-15	6	2.78035956686164e-15	6	1.09753682882357e-15	6	1.09753682882357e-15
<https://identifiers.org/wikipathways/WP4496_r102693>	WP4496	Signal transduction through IL1R	33	6	7.17937134875381e-50	6	1.23370418757758e-49	6	1.90052356402704e-50	6	4.66967930442668e-49	6	7.17937134875381e-50	6	1.20592269211089e-49	6	3.43959245875208e-51	6	3.43959245875208e-51
<https://identifiers.org/wikipathways/WP45_r106424>	WP45	G1 to S cell cycle control	66	5	1.82602479370844e-98	5	6.10046652816607e-98	5	9.43802383142027e-100	5	1.18220016975714e-96	5	1.82602479370844e-98	5	5.79865918167928e-98	5	2.08413792954456e-101	5	2.08413792954456e-101
<https://identifiers.org/wikipathways/WP4507_r119314>	WP4507	Molybdenum cofactor (Moco) biosynthesis	8	1	1.13185415927834e-17	1	1.30394676457269e-17	1	7.99706336872898e-18	1	1.84685484468063e-17	1	1.13185415927834e-17	1	1.29620492627582e-17	1	5.11672181269725e-18	1	5.11672181269725e-18
<https://identifiers.org/wikipathways/WP4518_r122628>	WP4518	Gamma-glutamyl cycle for the biosynthesis and degradation of glutathione, including diseases	6	1	2.91776237150454e-13	1	3.22844645135826e-13	1	2.27617272960665e-13	1	4.14064856177393e-13	1	2.91776237150454e-13	1	3.21473172556658e-13	1	1.65413565500943e-13	1	1.65413565500943e-13
<https://identifiers.org/wikipathways/WP4521_r119311>	WP4521	Glycosylation and related congenital defects	25	1	1.68083702637952e-49	1	2.72135798406373e-49	1	5.15026479381707e-50	1	8.89802791855898e-49	1	1.68083702637952e-49	1	2.66674879374807e-49	1	1.1251157324366e-50	1	1.1251157324366e-50
<https://identifiers.org/wikipathways/WP4522_r119310>	WP4522	Metabolic pathway of LDL, HDL and TG, including diseases	20	6	2.55643699597098e-28	6	3.39010753367545e-28	6	1.27870280473782e-28	6	6.78643207980717e-28	6	2.55643699597098e-28	6	3.3500894009002e-28	6	5.24723312416365e-29	6	5.24723312416365e-29
<https://identifiers.org/wikipathways/WP4523_r121849>	WP4523	Classical pathway of steroidogenesis with glucocorticoid and mineralocorticoid metabolism	25	2	1.02447016757832e-46	2	1.62601139547809e-46	2	3.29616946804295e-47	2	5.06297788566005e-46	2	1.02447016757832e-46	2	1.59471577866131e-46	2	7.66766371655566e-48	2	7.66766371655566e-48
<https://identifiers.org/wikipathways/WP453_r116780>	WP453	Inflammatory response pathway	33	8	1.91286913810076e-45	8	3.15917715573462e-45	8	5.58212957366616e-46	8	1.0846497604357e-44	9	2.59300038720322e-43	8	3.09319601213114e-45	8	1.14525530404723e-46	8	1.14525530404723e-46
<https://identifiers.org/wikipathways/WP4532_r103287>	WP4532	Intraflagellar transport proteins binding to dynein	27	1	7.92113151352982e-53	1	1.33443510169847e-52	1	2.20155487757565e-53	1	4.81063382686287e-52	1	7.92113151352982e-53	1	1.30547407278014e-52	1	4.24216237617488e-54	1	4.24216237617488e-54
