pathwayRes	pathway	pathwayTitle	TotalGenesinPW	GenesInPWs.ileum_Ensembl_BridgeDb_CD	probabilities.ileum_Ensembl_BridgeDb_CD	GenesInPWs.ileum_Ensembl_Hs_CD	probabilities.ileum_Ensembl_Hs_CD	GenesInPWs.ileum_Ensembl_PriID_BridgeDb_CD	probabilities.ileum_Ensembl_PriID_BridgeDb_CD	GenesInPWs.ileum_ENTREZ_BridgeDb_CD	probabilities.ileum_ENTREZ_BridgeDb_CD	GenesInPWs.ileum_ENTREZ_Hs_CD	probabilities.ileum_ENTREZ_Hs_CD	GenesInPWs.ileum_ENTREZ_PriID_BridgeDb_CD	probabilities.ileum_ENTREZ_PriID_BridgeDb_CD	GenesInPWs.ileum_HGNC_CD	probabilities.ileum_HGNC_CD	GenesInPWs.ileum_HGNC_PriID_BridgeDb_CD	probabilities.ileum_HGNC_PriID_BridgeDb_CD
<https://identifiers.org/wikipathways/WP3965_r117154>	WP3965	Lipid metabolism pathway	29	2	2.29929616856162e-57	2	3.70908003223837e-57	2	4.87860745604008e-58	2	2.1949980342253e-56	2	2.22781983829105e-57	2	4.64999739065581e-57	2	1.14210336105551e-58	2	1.14210336105551e-58
<https://identifiers.org/wikipathways/WP3967_r108139>	WP3967	miR-509-3p alteration of YAP1/ECM axis	18	9	1.48779194553177e-19	9	1.74636258699356e-19	9	8.85031215585193e-20	9	3.16922095198423e-19	9	1.47213108536656e-19	9	1.88382148773827e-19	9	5.44179955631633e-20	9	5.44179955631633e-20
<https://identifiers.org/wikipathways/WP3969_r106437>	WP3969	H19 action Rb-E2F1 signaling and CDK-Beta-catenin activity	15	2	6.50143213717833e-31	2	8.1924198663443e-31	2	3.07282144681519e-31	2	1.93552732597132e-30	2	6.40292700536153e-31	2	9.13871537300759e-31	2	1.52326786710774e-31	2	1.52326786710774e-31
<https://identifiers.org/wikipathways/WP3971_r117820>	WP3971	OSX and miRNAs in tooth development	36	4	5.27794950821126e-64	4	9.29466048168511e-64	4	8.42573397991631e-65	4	7.62074779586338e-63	4	5.08433537602599e-64	4	1.21459081706692e-63	4	1.51091371666923e-65	4	1.51091371666923e-65
<https://identifiers.org/wikipathways/WP3972_r108157>	WP3972	PDGFR-beta pathway	29	3	1.3197960007544e-54	3	2.09192113818244e-54	3	2.96456713078699e-55	3	1.15969062808239e-53	3	1.28025380040459e-54	3	2.60089854050687e-54	3	7.32088254436557e-56	3	7.32088254436557e-56
<https://identifiers.org/wikipathways/WP3981_r108114>	WP3981	miRNA regulation of prostate cancer signaling pathways	35	5	8.74029024998649e-60	5	1.48617077045911e-59	5	1.56332753410167e-60	5	1.06966086187373e-58	5	8.43918323054291e-60	5	1.91015054027665e-59	5	3.11857291740985e-61	5	3.11857291740985e-61
<https://identifiers.org/wikipathways/WP3982_r108115>	WP3982	miRNA regulation of p53 pathway in prostate cancer	34	2	5.02661857924887e-66	2	8.85205760160482e-66	2	8.02450855230155e-67	2	7.25785504367946e-65	2	4.84222416764384e-66	2	1.15675315911137e-65	2	1.43896544444691e-67	2	1.43896544444691e-67
<https://identifiers.org/wikipathways/WP399_r119242>	WP399	Wnt signaling pathway and pluripotency	101	14	1.35454545284454e-133	14	6.15796685666803e-133	14	9.96060722136432e-136	14	1.70970681946831e-130	14	1.22561785648006e-133	14	1.25979643482637e-132	14	9.96167460727822e-138	14	9.96167460727822e-138
<https://identifiers.org/wikipathways/WP3995_r119304>	WP3995	Prion disease pathway	33	3	1.46895634453555e-61	3	2.49776600077157e-61	3	2.62744123378428e-62	3	1.79774934768694e-60	3	1.41835012278032e-61	3	3.21033704248181e-61	3	5.24129902085691e-63	3	5.24129902085691e-63
<https://identifiers.org/wikipathways/WP3996_r107156>	WP3996	Ethanol effects on histone modifications	31	1	8.34634286667934e-64	1	1.41918522771117e-63	1	1.49286433737747e-64	1	1.02144849300395e-62	1	8.05880751579743e-64	1	1.82405513777375e-63	1	2.97801080730502e-65	1	2.97801080730502e-65
<https://identifiers.org/wikipathways/WP3998_r119303>	WP3998	Prader-Willi and Angelman syndrome	74	3	6.67526834077041e-124	3	2.31010224066987e-123	3	1.19020139513152e-125	3	2.32957974810626e-121	3	6.1497520898446e-124	3	4.15435793947444e-123	3	2.73293002201386e-127	3	2.73293002201386e-127
<https://identifiers.org/wikipathways/WP400_r116725>	WP400	p38 MAPK signaling pathway	34	6	1.23774996068736e-55	6	2.03204129444872e-55	6	2.48081468619862e-56	6	1.28367249476964e-54	6	1.19788258342709e-55	6	2.56877044656405e-55	6	5.50584048568706e-57	6	5.50584048568706e-57
<https://identifiers.org/wikipathways/WP4008_r117805>	WP4008	NO/cGMP/PKG mediated neuroprotection	47	6	8.72066758167033e-77	6	1.7972693711385e-76	6	8.35912045216038e-78	6	2.64342912600185e-75	6	8.31395810761129e-77	6	2.52984394443534e-76	6	9.29324980966354e-79	6	9.29324980966354e-79
<https://identifiers.org/wikipathways/WP4016_r120667>	WP4016	DNA IR-damage and cellular response via ATR	83	7	5.47148480473253e-126	7	2.06257119739059e-125	7	7.39074099128785e-128	7	2.85727844391999e-123	7	5.0123389831414e-126	7	3.86219399908763e-125	7	1.30789500039509e-129	7	1.30789500039509e-129
<https://identifiers.org/wikipathways/WP4018_r117168>	WP4018	Clear cell renal cell carcinoma pathways	86	13	1.50789722156924e-116	13	5.40012028051491e-116	13	2.40578107499717e-118	13	6.18383423365037e-114	13	1.38604819607133e-116	13	9.86968282219524e-116	13	4.97713618074086e-120	13	4.97713618074086e-120
<https://identifiers.org/wikipathways/WP4022_r120306>	WP4022	Pyrimidine metabolism	99	5	1.68085805300062e-151	5	8.60346646379594e-151	5	8.40988299191913e-154	5	3.70924075301392e-148	5	1.50900303274213e-151	5	1.86153435722221e-150	5	5.85941898779347e-156	5	5.85941898779347e-156
<https://identifiers.org/wikipathways/WP4030_r93221>	WP4030	SCFA and skeletal muscle substrate metabolism	6	1	5.10087663284958e-14	1	5.57638878899941e-14	1	3.82100275355155e-14	1	7.76817270242475e-14	1	5.07094197286457e-14	1	5.81642006677515e-14	1	2.91546797249452e-14	1	2.91546797249452e-14
<https://identifiers.org/wikipathways/WP405_r118377>	WP405	Eukaryotic transcription initiation	41	1	1.40991627454169e-80	1	2.85552568272392e-80	1	1.43009079152415e-81	1	3.93649772856209e-79	1	1.34570998409307e-80	1	3.98646505498462e-80	1	1.67645192086866e-82	1	1.67645192086866e-82
<https://identifiers.org/wikipathways/WP408_r116900>	WP408	Oxidative stress response	33	2	2.55322655481262e-64	2	4.41821816174222e-64	2	4.31435342164911e-65	2	3.39411456454429e-63	2	2.46241340760472e-64	2	5.72592813760127e-64	2	8.15978052027538e-66	2	8.15978052027538e-66
<https://identifiers.org/wikipathways/WP410_r117108>	WP410	Exercise-induced circadian regulation	48	4	2.39201033477013e-83	4	5.19412282429946e-83	4	1.93543244035641e-84	4	9.27590595064114e-82	4	2.27259853586122e-83	4	7.49404260195863e-83	4	1.83567922060038e-85	4	1.83567922060038e-85
<https://identifiers.org/wikipathways/WP411_r122796>	WP411	mRNA processing	127	3	2.21284397839469e-190	3	1.87294410704001e-189	3	2.1608879063232e-193	3	5.21749128584056e-186	3	1.92166265617399e-190	3	5.13953829621304e-189	3	3.24543094443831e-196	3	3.24543094443831e-196
<https://identifiers.org/wikipathways/WP4136_r120387>	WP4136	Fibrin complement receptor 3 signaling pathway	43	8	9.87148833522982e-66	8	1.83212788278087e-65	8	1.32909750829583e-66	8	1.82587402475446e-64	8	9.47644336314048e-66	8	2.45432838788449e-65	8	2.03174918161169e-67	8	2.03174918161169e-67
<https://identifiers.org/wikipathways/WP4141_r122432>	WP4141	PI3K/AKT/mTOR - vitamin D3 signaling	22	4	3.1757438299569e-39	4	4.37179851856077e-39	4	1.12676346134767e-39	4	1.43503429042571e-38	4	3.10941157741423e-39	4	5.08503174969152e-39	4	4.26995374436899e-40	4	4.26995374436899e-40
<https://identifiers.org/wikipathways/WP4142_r119292>	WP4142	Metabolism of spingolipids in ER and Golgi apparatus	31	3	4.13686484186948e-58	3	6.79158186647299e-58	3	8.29149293515588e-59	3	4.29034924722474e-57	3	4.00361826011728e-58	3	8.58546272247344e-58	3	1.84018732810397e-59	3	1.84018732810397e-59
<https://identifiers.org/wikipathways/WP4146_r107552>	WP4146	Macrophage markers	9	4	1.07118409289841e-12	4	1.17104164568987e-12	4	8.02410578245827e-13	4	1.6313162675092e-12	4	1.06489781430156e-12	4	1.22144821402278e-12	4	6.12248274223845e-13	4	6.12248274223845e-13
<https://identifiers.org/wikipathways/WP4147_r94394>	WP4147	PTF1A related regulatory pathway	11	2	1.68302256281873e-22	2	1.9755232884542e-22	2	1.00116653346741e-22	2	3.58509157464281e-22	2	1.66530665765446e-22	2	2.13101978250936e-22	2	6.15588185103648e-23	2	6.15588185103648e-23
<https://identifiers.org/wikipathways/WP4148_r110682>	WP4148	Splicing factor NOVA regulated synaptic proteins	42	2	2.96082417653763e-79	2	5.99660393372014e-79	2	3.00319066220078e-80	2	8.26664522998068e-78	2	2.82599096659547e-79	2	8.37157661546776e-79	2	3.52054903382426e-81	2	3.52054903382426e-81
<https://identifiers.org/wikipathways/WP4149_r107159>	WP4149	White fat cell differentiation	32	3	7.67863543734494e-60	3	1.28294344585086e-59	3	1.45385081602734e-60	3	8.65098777008135e-59	3	7.42269897588374e-60	3	1.63532623285206e-59	3	3.05901270126375e-61	3	3.05901270126375e-61
<https://identifiers.org/wikipathways/WP4150_r116677>	WP4150	Wnt signaling in kidney disease	37	6	1.12418565208399e-60	6	1.94534145661509e-60	6	1.89960981155211e-61	6	1.49442864276883e-59	6	1.08420062336836e-60	6	2.52112615898585e-60	6	3.59275136307724e-62	6	3.59275136307724e-62
<https://identifiers.org/wikipathways/WP4155_r119086>	WP4155	Endometrial cancer	63	5	3.11011980428037e-103	5	8.60743603780098e-103	5	1.14542949327807e-104	5	3.78494700833642e-101	5	2.90789083808012e-103	5	1.39274511558285e-102	5	5.19377843803687e-106	5	5.19377843803687e-106
<https://identifiers.org/wikipathways/WP4157_r120415>	WP4157	GABA metabolism (aka GHB)	12	1	1.38866589568813e-27	1	1.68890246581776e-27	1	7.36277733853336e-28	1	3.4973773506876e-27	1	1.3708314909303e-27	1	1.85267000872368e-27	1	4.06469467227321e-28	1	4.06469467227321e-28
<https://identifiers.org/wikipathways/WP4172_r122580>	WP4172	PI3K-Akt signaling pathway	340	57	3.01136177393764e-286	57	3.21056025050999e-284	57	7.72959574119811e-293	57	1.05941626225909e-276	57	2.21187020735702e-286	57	2.91402011349471e-283	57	4.94317818090976e-299	57	4.94317818090976e-299
<https://identifiers.org/wikipathways/WP4186_r105819>	WP4186	Somatroph axis (GH) and its relationship to dietary restriction and aging	9	2	4.4399848830131e-18	2	5.02968588426499e-18	2	2.96365317237024e-18	2	7.99775917002785e-18	2	4.40357039483576e-18	2	5.33518238167616e-18	2	2.02982928904833e-18	2	2.02982928904833e-18
<https://identifiers.org/wikipathways/WP4191_r106347>	WP4191	Caloric restriction and aging	9	2	4.4399848830131e-18	2	5.02968588426499e-18	2	2.96365317237024e-18	2	7.99775917002785e-18	2	4.40357039483576e-18	2	5.33518238167616e-18	2	2.02982928904833e-18	2	2.02982928904833e-18
<https://identifiers.org/wikipathways/WP4197_r120647>	WP4197	Immune response to tuberculosis	23	6	4.17070437188237e-36	6	5.64093162849879e-36	6	1.56702750447824e-36	6	1.73390409864504e-35	6	4.08835798903678e-36	6	6.50663712584686e-36	6	6.26573012448694e-37	6	6.26573012448694e-37
<https://identifiers.org/wikipathways/WP4204_r108297>	WP4204	Tumor suppressor activity of SMARCB1	31	4	1.78195453063529e-55	4	2.87453702498469e-55	4	3.78092077843101e-56	4	1.70112347652466e-54	4	1.72656037467559e-55	4	3.60374797775818e-55	4	8.85130104817997e-57	4	8.85130104817997e-57
<https://identifiers.org/wikipathways/WP4205_r118937>	WP4205	MET in type 1 papillary renal cell carcinoma	59	3	1.33631796809937e-102	3	3.57280159832173e-102	3	5.50516299407121e-104	3	1.38194372399437e-100	3	1.25228010292937e-102	3	5.68745854846149e-102	3	2.77285329724695e-105	3	2.77285329724695e-105
<https://identifiers.org/wikipathways/WP4206_r119286>	WP4206	Hereditary leiomyomatosis and renal cell carcinoma pathway	20	2	8.24868527261528e-41	2	1.13553208274304e-40	2	2.92665834116277e-41	2	3.72736179331358e-40	2	8.07639370756934e-41	2	1.32078746745235e-40	2	1.10907889464128e-41	2	1.10907889464128e-41
<https://identifiers.org/wikipathways/WP4210_r95880>	WP4210	Tryptophan catabolism leading to NAD+ production	16	4	1.48059281204007e-27	4	1.83291740476345e-27	4	7.41164532971821e-28	4	4.05428457213461e-27	4	1.45986735722243e-27	4	2.02757631742461e-27	4	3.87722447774487e-28	4	3.87722447774487e-28
<https://identifiers.org/wikipathways/WP4211_r107570>	WP4211	Transcriptional cascade regulating adipogenesis	13	2	9.02632832197287e-27	2	1.09778660278152e-26	2	4.78580527004663e-27	2	2.27329527794692e-26	2	8.91040469104683e-27	2	1.20423550567039e-26	2	2.64205153697754e-27	2	2.64205153697754e-27
<https://identifiers.org/wikipathways/WP4216_r119088>	WP4216	Chromosomal and microsatellite instability in colorectal cancer 	73	6	7.28688750575001e-115	6	2.35458889490205e-114	6	1.62326038776782e-116	6	1.84055243919059e-112	6	6.74370962868297e-115	6	4.09929608596895e-114	6	4.59311646080794e-118	6	4.59311646080794e-118
<https://identifiers.org/wikipathways/WP4217_r120623>	WP4217	Ebola virus infection in host	140	21	2.29981009764563e-165	21	1.79107636642454e-164	21	2.94334971765473e-168	21	3.66416123023601e-161	21	2.00820106544682e-165	21	4.72535343445459e-164	21	5.69960623116813e-171	21	5.69960623116813e-171
<https://identifiers.org/wikipathways/WP4222_r107160>	WP4222	Phosphodiesterases in neuronal function	52	5	5.89028734458625e-87	5	1.34750980687774e-86	5	4.02419360240507e-88	5	2.9208752810139e-85	5	5.57699562664212e-87	5	1.99269293597697e-86	5	3.25700803561438e-89	5	3.25700803561438e-89
<https://identifiers.org/wikipathways/WP4223_r119284>	WP4223	Ras signaling	184	15	8.67151984506593e-224	15	1.53673834524893e-222	15	7.6645138230597e-228	15	6.62404510918224e-218	15	7.17154019704171e-224	15	5.97846695492676e-222	15	1.20304695755642e-231	15	1.20304695755642e-231
<https://identifiers.org/wikipathways/WP4224_r120400>	WP4224	Purine metabolism and related disorders	24	3	1.39012004762813e-45	3	2.01771417464122e-45	3	4.15417151480801e-46	3	8.06381444219644e-45	3	1.35633366754257e-45	3	2.40637631202491e-45	3	1.34040439621149e-46	3	1.34040439621149e-46
<https://identifiers.org/wikipathways/WP4225_r120401>	WP4225	Pyrimidine metabolism and related diseases	24	2	2.42886438141197e-48	2	3.58811056545563e-48	2	6.8550685062838e-49	2	1.53110400801198e-47	2	2.36707446342502e-48	2	4.3150800574265e-48	2	2.0965657917802e-49	2	2.0965657917802e-49
<https://identifiers.org/wikipathways/WP4239_r118997>	WP4239	Epithelial to mesenchymal transition in colorectal cancer	161	26	1.10899764898918e-178	26	1.12638657335817e-177	26	5.9880274686457e-182	26	6.16932240325244e-174	26	9.51534418615125e-179	26	3.36893583307157e-177	26	5.15357448303229e-185	26	5.15357448303229e-185
<https://identifiers.org/wikipathways/WP4240_r106495>	WP4240	Regulation of sister chromatid separation at the metaphase-anaphase transition	15	1	7.60846358944202e-34	1	9.75868953703897e-34	1	3.39538281416043e-34	1	2.46250295925109e-33	1	7.48442665734825e-34	1	1.09774358834925e-33	1	1.5950448870238e-34	1	1.5950448870238e-34
<https://identifiers.org/wikipathways/WP4241_r106520>	WP4241	Type 2 papillary renal cell carcinoma	34	7	3.04663311752047e-53	7	4.91463701643101e-53	7	6.46429426803744e-54	7	2.90843510957813e-52	7	2.95192493773105e-53	7	6.16137939968718e-53	7	1.51331958492312e-54	7	1.51331958492312e-54
<https://identifiers.org/wikipathways/WP4249_r117749>	WP4249	Hedgehog signaling pathway	43	5	6.38378711425794e-73	5	1.24858048941797e-72	5	7.25118283154916e-74	5	1.51191785625269e-71	5	6.10713490787453e-73	5	1.71456823540742e-72	5	9.45178697746178e-75	5	9.45178697746178e-75
<https://identifiers.org/wikipathways/WP4255_r119279>	WP4255	Non-small cell lung cancer	72	9	1.90253403935558e-106	9	5.73915226047082e-106	9	5.29769123899455e-108	9	3.47539009319912e-104	9	1.76873031199214e-106	9	9.67232217220383e-106	9	1.84802153784783e-109	9	1.84802153784783e-109
<https://identifiers.org/wikipathways/WP4258_r117770>	WP4258	lncRNA in canonical Wnt signaling and colorectal cancer	98	16	1.0086142479119e-125	16	4.21171593011578e-125	16	9.7737532093549e-128	16	8.52983924854117e-123	16	9.17751460542363e-126	16	8.27714281333757e-125	16	1.26644509387115e-129	16	1.26644509387115e-129
<https://identifiers.org/wikipathways/WP4259_r119256>	WP4259	Disorders of folate metabolism and transport	15	1	7.60846358944202e-34	1	9.75868953703897e-34	1	3.39538281416043e-34	1	2.46250295925109e-33	1	7.48442665734825e-34	1	1.09774358834925e-33	1	1.5950448870238e-34	1	1.5950448870238e-34
<https://identifiers.org/wikipathways/WP4262_r108103>	WP4262	Breast cancer pathway	156	17	1.09750322432393e-190	17	1.19079635025344e-189	17	4.78143391794386e-194	17	8.33100619052022e-186	17	9.37572260501704e-191	17	3.67441402401277e-189	17	3.36343393806797e-197	17	3.36343393806797e-197
<https://identifiers.org/wikipathways/WP4263_r105482>	WP4263	Pancreatic adenocarcinoma pathway	89	9	3.21393337379687e-129	9	1.29711235830045e-128	9	3.47858492588015e-131	9	2.31496819986534e-126	9	2.93098887762711e-129	9	2.50846635449014e-128	9	5.00035345351488e-133	9	5.00035345351488e-133
<https://identifiers.org/wikipathways/WP4271_r120408>	WP4271	Vitamin B12 disorders	16	1	7.11903025912711e-36	1	9.29399003527545e-36	1	2.99978603128478e-36	1	2.50477096935903e-35	1	6.99479126854986e-36	1	1.05425554703409e-35	1	1.33546406030252e-36	1	1.33546406030252e-36
<https://identifiers.org/wikipathways/WP428_r116549>	WP428	Wnt signaling	116	19	1.04936157623992e-141	19	5.65036213839019e-141	19	4.45356114580001e-144	19	2.94008175228822e-138	19	9.38923307261118e-142	19	1.25219863010703e-140	19	2.65868816368885e-146	19	2.65868816368885e-146
<https://identifiers.org/wikipathways/WP4288_r120407>	WP4288	MTHFR deficiency	27	2	8.39175708361454e-54	2	1.30693545985214e-53	3	1.21133308247379e-51	2	6.78676091705344e-53	2	8.14979297326518e-54	3	9.00273483334063e-51	2	5.19854787571575e-55	3	3.32880348974998e-52
<https://identifiers.org/wikipathways/WP4290_r118611>	WP4290	Metabolic reprogramming in colon cancer	42	5	2.57281466721137e-71	5	4.94495947320648e-71	5	3.09271379373513e-72	5	5.6116765083239e-70	5	2.46415792213074e-71	5	6.73466453396078e-71	5	4.25110604986296e-73	5	4.25110604986296e-73
<https://identifiers.org/wikipathways/WP4297_r120409>	WP4297	Thiamine metabolic pathways	10	1	3.0600410233068e-23	1	3.59186052446223e-23	1	1.82030278812256e-23	1	6.51834831753246e-23	1	3.02783028664454e-23	1	3.87458142274426e-23	1	1.119251245643e-23	1	1.119251245643e-23
<https://identifiers.org/wikipathways/WP4298_r121698>	WP4298	Acute viral myocarditis	98	12	4.39355535001879e-134	12	1.96375031881644e-133	12	3.41390124852979e-136	12	5.11920316712287e-131	12	3.97983208905696e-134	12	3.98533622440792e-133	12	3.59558769458402e-138	12	3.59558769458402e-138
<https://identifiers.org/wikipathways/WP43_r122562>	WP43	Oxidation by cytochrome P450	64	6	3.31746112456581e-102	6	9.18126510698789e-102	6	1.2217914594966e-103	6	4.03727680889228e-100	6	3.10175022728556e-102	6	1.48559478995502e-101	6	5.54003033390586e-105	6	5.54003033390586e-105
<https://identifiers.org/wikipathways/WP430_r122069>	WP430	Statin inhibition of cholesterol production	31	3	4.13686484186948e-58	3	6.79158186647299e-58	3	8.29149293515588e-59	3	4.29034924722474e-57	3	4.00361826011728e-58	3	8.58546272247344e-58	3	1.84018732810397e-59	3	1.84018732810397e-59
<https://identifiers.org/wikipathways/WP4300_r105311>	WP4300	Extracellular vesicles in the crosstalk of cardiac cells	25	5	2.98180750216227e-42	5	4.25233262305644e-42	5	9.43516205300799e-43	5	1.59159537552852e-41	5	2.91272655104765e-42	5	5.02932649213194e-42	5	3.21194403442183e-43	5	3.21194403442183e-43
<https://identifiers.org/wikipathways/WP4304_r119229>	WP4304	Oligodendrocyte specification and differentiation, leading to myelin components for CNS	31	7	4.32533538108378e-48	7	6.61880037835994e-48	7	1.08898844114392e-48	7	3.21945161199811e-47	7	4.20550506882215e-48	7	8.09345861517305e-48	7	2.99259433728526e-49	7	2.99259433728526e-49
<https://identifiers.org/wikipathways/WP4312_r119230>	WP4312	Rett syndrome causing genes	49	4	6.7361210576859e-85	4	1.48837437655364e-84	4	5.15134109600562e-86	4	2.83542976657155e-83	4	6.39249875184856e-85	4	2.16514202533002e-84	4	4.6341206496351e-87	4	4.6341206496351e-87
<https://identifiers.org/wikipathways/WP4313_r120500>	WP4313	Ferroptosis	65	6	1.22938981241033e-103	6	3.46161387444424e-103	6	4.28120996589089e-105	6	1.62290038700056e-101	6	1.14814216841435e-103	6	5.64699773959528e-103	6	1.84195381945718e-106	6	1.84195381945718e-106
<https://identifiers.org/wikipathways/WP4320_r116686>	WP4320	Effect of progerin on genes involved in Hutchinson-Gilford progeria syndrome	26	2	5.3458600680803e-52	2	8.1804478783338e-52	2	1.34592564719308e-52	2	3.97905278951686e-51	2	5.19775685183789e-52	2	1.00030387037117e-51	2	3.69867054416676e-53	2	3.69867054416676e-53
<https://identifiers.org/wikipathways/WP4321_r106178>	WP4321	Thermogenesis	108	13	2.56846554930837e-144	13	1.33707737192298e-143	13	1.21644971587367e-146	13	6.1377317808752e-141	13	2.30328587351795e-144	13	2.91623523852917e-143	13	8.0496876852064e-149	13	8.0496876852064e-149
<https://identifiers.org/wikipathways/WP4329_r101725>	WP4329	miRNAs involvement in the immune response in sepsis	66	9	4.9501061740775e-98	9	1.34652543359852e-97	10	3.57280233771763e-97	9	5.55337037626943e-96	9	4.63351634399212e-98	10	3.69111054831611e-95	9	9.21432354738472e-101	10	1.79955738880422e-98
<https://identifiers.org/wikipathways/WP4331_r107654>	WP4331	Neovascularisation processes	41	10	5.42125147554982e-58	10	9.38117758625773e-58	10	9.16064217218498e-59	10	7.20670422158103e-57	10	5.2284284346911e-58	10	1.21578307676426e-57	10	1.73256157399446e-59	10	1.73256157399446e-59
<https://identifiers.org/wikipathways/WP4336_r108198>	WP4336	ncRNAs involved in Wnt signaling in hepatocellular carcinoma	93	14	1.66396652572214e-123	14	6.60210438891317e-123	14	1.90346459475205e-125	14	1.10603351078739e-120	14	1.51918602502192e-123	14	1.26652774095441e-122	14	2.88202008126095e-127	14	2.88202008126095e-127
<https://identifiers.org/wikipathways/WP4337_r108190>	WP4337	ncRNAs involved in STAT3 signaling in hepatocellular carcinoma	18	3	3.63070543215484e-34	3	4.73993491799039e-34	3	1.52989087595523e-34	3	1.27743319437309e-33	3	3.56734354696044e-34	3	5.37670328987387e-34	3	6.81086670754278e-35	3	6.81086670754278e-35
<https://identifiers.org/wikipathways/WP4341_r122900>	WP4341	Non-genomic actions of 1,25 dihydroxyvitamin D3	93	13	1.31242430197798e-125	13	5.29681727477272e-125	14	1.90346459475205e-125	13	9.45327786997728e-123	13	1.19688263085579e-125	14	1.26652774095441e-122	13	2.04191706162215e-129	14	2.88202008126095e-127
<https://identifiers.org/wikipathways/WP4352_r102218>	WP4352	Ciliary landscape	214	12	2.02122776672286e-259	12	6.08897788359321e-258	12	3.17977363934779e-264	12	1.87270639098458e-252	12	1.61399346950898e-259	12	3.04331470087579e-257	12	9.83411289178496e-269	12	9.83411289178496e-269
<https://identifiers.org/wikipathways/WP4357_r98705>	WP4357	NRF2-ARE regulation	23	2	1.7376500595351e-46	2	2.52214271830156e-46	2	5.1927143935101e-47	2	1.00797680527456e-45	2	1.69541708442819e-46	2	3.00797039003113e-46	2	1.67550549526437e-47	2	1.67550549526437e-47
<https://identifiers.org/wikipathways/WP437_r120689>	WP437	EGF/EGFR signaling pathway	162	19	4.64334579088239e-193	19	5.38114376271497e-192	19	1.6329776221701e-196	19	4.80619943745597e-188	19	3.94947314256589e-193	19	1.7129330992579e-191	19	9.39250261774583e-200	19	9.39250261774583e-200
<https://identifiers.org/wikipathways/WP4389_r116629>	WP4389	Bile acids synthesis and enterohepatic circulation 	13	1	1.05756629431435e-29	1	1.30922671768818e-29	1	5.2940323783702e-30	1	2.89591755152473e-29	1	1.04276239801604e-29	1	1.44826879816044e-29	1	2.76944605553207e-30	1	2.76944605553207e-30
<https://identifiers.org/wikipathways/WP4396_r98945>	WP4396	Nonalcoholic fatty liver disease	155	10	1.79152852592666e-204	10	2.14560467192266e-203	11	9.99028945083905e-206	10	2.16481026027483e-199	10	1.52050552849817e-204	11	1.13259728540089e-200	10	2.9451024412009e-211	11	5.46450371135518e-209
<https://identifiers.org/wikipathways/WP4397_r108140>	WP4397	Model for regulation of MSMP expression in cancer cells and its proangiogenic role in ovarian tumors	3	2	0.00176886792452827	2	0.00180072028811527	2	0.00166944908180295	2	0.00192431045542016	2	0.00176678445229683	2	0.00181598062953988	2	0.00158144438587235	2	0.00158144438587235
<https://identifiers.org/wikipathways/WP4462_r102079>	WP4462	Platelet-mediated interactions with vascular and circulating cells	19	9	1.65794996862776e-21	9	1.98094860614192e-21	9	9.31095963240239e-22	9	3.84025498008295e-21	9	1.63857590052518e-21	9	2.15488309855671e-21	9	5.42466902256087e-22	9	5.42466902256087e-22
<https://identifiers.org/wikipathways/WP4478_r121699>	WP4478	LTF danger signal response pathway	19	5	5.89808097453552e-31	5	7.56493612911274e-31	6	7.94017061857046e-29	5	1.90893229401143e-30	5	5.80192754477645e-31	6	2.36144405238514e-28	5	1.23647879642085e-31	6	3.9361241686064e-29
<https://identifiers.org/wikipathways/WP4479_r121700>	WP4479	Supression of HMGB1 mediated inflammation by THBD	9	1	5.21430990371474e-21	1	6.01277451794975e-21	1	3.28564653256124e-21	1	1.02142518135732e-20	1	5.16547846901553e-21	1	6.43180516175554e-21	1	2.13217362294992e-21	1	2.13217362294992e-21
<https://identifiers.org/wikipathways/WP4480_r121701>	WP4480	Altered glycosylation of MUC1 in tumor microenvironment	9	2	4.4399848830131e-18	2	5.02968588426499e-18	2	2.96365317237024e-18	2	7.99775917002785e-18	2	4.40357039483576e-18	2	5.33518238167616e-18	2	2.02982928904833e-18	2	2.02982928904833e-18
<https://identifiers.org/wikipathways/WP4481_r121702>	WP4481	Resistin as a regulator of inflammation	33	4	6.33487423580948e-59	4	1.05842834282695e-58	5	4.37790826976221e-57	4	7.13706491031721e-58	4	6.12372665510397e-59	5	4.53312431746599e-56	4	2.52368547854254e-60	5	9.71618909238888e-58
<https://identifiers.org/wikipathways/WP4482_r121703>	WP4482	Vitamin D in inflammatory diseases	22	1	1.51100005176967e-47	1	2.19316758113179e-47	1	4.51540382044357e-48	1	8.76501569803979e-47	1	1.47427572558972e-47	1	2.61562642611399e-47	1	1.4569613002299e-48	1	1.4569613002299e-48
<https://identifiers.org/wikipathways/WP4483_r107927>	WP4483	Relationship between inflammation, COX-2 and EGFR	26	3	3.06317781901004e-49	3	4.60559215550192e-49	3	8.16528225963824e-50	3	2.09828717100526e-48	3	2.98177984733773e-49	3	5.58502994290572e-49	3	2.36714914826671e-50	3	2.36714914826671e-50
<https://identifiers.org/wikipathways/WP4484_r107333>	WP4484	Control of immune tolerance by vasoactive intestinal peptide	15	3	3.70148203010017e-28	3	4.58229351190859e-28	3	1.85291133242956e-28	3	1.01357114303365e-27	3	3.64966839305608e-28	3	5.06894079356153e-28	3	9.6930611943622e-29	3	9.6930611943622e-29
